movie_rank, movie_name, movie_year, movie_rating, num_user_rating
229,La Haine,1995,8.0,127056
230,The Nights of Cabiria,1957,8.0,36929
231,Groundhog Day,1993,8.0,521528
232,The Wizard of Oz,1939,8.0,339855
233,Jaws,1975,8.0,491538
234,The Help,2011,8.0,378584
235,Paper Moon,1973,8.0,35598
236,In the Mood for Love,2000,8.0,99820
237,Gangs of Wasseypur,2012,8.0,65012
238,Before Sunset,2004,8.0,199081
239,A Wednesday,2008,8.0,65352
240,Paris| Texas,1984,8.0,69741
241,The Bourne Ultimatum,2007,8.0,568817
242,The Handmaiden,2016,8.0,67666
243,Tangerines,2013,8.0,30250
244,Guardians of the Galaxy,2014,8.0,878853
245,PK,2014,8.0,128267
246,Castle in the Sky,1986,8.0,121089
247,The Best Years of Our Lives,1946,8.0,51317
248,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,935193
249,Song of the Sea,2014,8.0,40839
250,Lagaan: Once Upon a Time in India,2001,8.0,89113
